year_film,film,award_year,imdb_rating,rt_rating,rt_audience_score,rt_status,runtime_mins,content_rating,bafta_nom,bafta_win,sag_nom,sag_win,gg_nom,gg_win,oscar_winner,Oscarstat_totalnoms,Nom_DGA,Win_DGA,Genre_action,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western
1968,The Lion in Winter,1969,7.9,90.0,90.0,certified-fresh,134,PG,0,0,DE,DE,1,1,0,7,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1968,Funny Girl,1969,7.3,93.0,85.0,certified-fresh,151,G,0,0,DE,DE,1,0,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,"Rachel, Rachel",1969,7.1,86.0,77.0,fresh,101,R,0,0,DE,DE,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1969,"Hello, Dolly!",1970,7.0,43.0,76.0,rotten,146,G,0,0,DE,DE,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1969,Anne of the Thousand Days,1970,7.4,38.0,83.0,rotten,145,PG,0,0,DE,DE,1,1,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1969,Z,1970,8.2,93.0,93.0,certified-fresh,127,PG,1,0,DE,DE,0,0,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1969,Midnight Cowboy,1970,7.8,88.0,88.0,certified-fresh,113,R,1,1,DE,DE,1,0,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,Butch Cassidy and the Sundance Kid,1970,8.0,90.0,92.0,certified-fresh,110,PG,1,1,DE,DE,1,0,0,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Five Easy Pieces,1971,7.4,88.0,84.0,certified-fresh,98,R,0,0,DE,DE,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,M*A*S*H,1971,7.4,87.0,83.0,certified-fresh,116,PG,1,0,DE,DE,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Airport,1971,6.6,73.0,53.0,fresh,137,G,0,0,DE,DE,1,0,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1970,Patton,1971,7.9,94.0,93.0,certified-fresh,172,PG,0,0,DE,DE,1,0,1,10,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1970,Love Story,1971,6.9,68.0,75.0,fresh,100,PG,0,0,DE,DE,1,1,0,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1971,The French Connection,1972,7.7,98.0,87.0,certified-fresh,104,R,1,0,DE,DE,1,1,1,8,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,Fiddler on the Roof,1972,8.0,83.0,92.0,certified-fresh,181,G,0,0,DE,DE,1,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1971,A Clockwork Orange,1972,8.3,88.0,93.0,certified-fresh,136,R,1,0,DE,DE,1,0,0,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1971,The Last Picture Show,1972,8.0,100.0,90.0,certified-fresh,118,R,1,0,DE,DE,1,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,Nicholas and Alexandra,1972,7.2,67.0,78.0,fresh,183,PG,0,0,DE,DE,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1972,Sounder,1973,7.5,89.0,77.0,fresh,105,G,0,0,DE,DE,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1972,Cabaret,1973,7.8,93.0,87.0,certified-fresh,124,PG,1,1,DE,DE,1,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,Deliverance,1973,7.7,89.0,82.0,certified-fresh,109,R,0,0,DE,DE,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1972,The Emigrants,1973,8.0,93.0,87.0,fresh,191,PG,0,0,DE,DE,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1972,The Godfather,1973,9.2,98.0,98.0,certified-fresh,175,R,0,0,DE,DE,1,1,1,11,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,The Exorcist,1974,8.1,83.0,87.0,certified-fresh,122,R,0,0,DE,DE,1,1,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,A Touch of Class,1974,6.5,83.0,64.0,fresh,106,PG,0,0,DE,DE,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1973,American Graffiti,1974,7.4,96.0,84.0,certified-fresh,110,PG,0,0,DE,DE,1,1,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,The Sting,1974,8.3,94.0,95.0,certified-fresh,129,PG,0,0,DE,DE,0,0,1,10,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,Cries and Whispers,1974,8.0,94.0,90.0,fresh,91,R,0,0,DE,DE,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,The Conversation,1975,7.8,96.0,90.0,certified-fresh,113,PG,0,0,DE,DE,1,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1974,Chinatown,1975,8.2,99.0,93.0,certified-fresh,130,R,1,0,DE,DE,1,1,0,11,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1974,The Godfather Part II,1975,9.0,98.0,97.0,certified-fresh,202,R,0,0,DE,DE,1,0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,The Towering Inferno,1975,7.0,69.0,72.0,fresh,165,PG,0,0,DE,DE,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1974,Lenny,1975,7.6,88.0,88.0,fresh,111,R,0,0,DE,DE,0,0,0,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,Barry Lyndon,1976,8.1,91.0,92.0,certified-fresh,185,PG,1,0,DE,DE,1,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1975,Jaws,1976,8.1,98.0,90.0,certified-fresh,124,PG,1,0,DE,DE,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1975,Dog Day Afternoon,1976,8.0,96.0,90.0,certified-fresh,125,R,1,0,DE,DE,1,0,0,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,One Flew over the Cuckoo's Nest,1976,8.7,94.0,96.0,certified-fresh,133,R,1,1,DE,DE,1,1,1,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,Nashville,1976,7.6,90.0,84.0,certified-fresh,160,R,0,0,DE,DE,1,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1976,Rocky,1977,8.1,94.0,69.0,certified-fresh,120,PG,1,0,DE,DE,1,1,1,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1976,All the President's Men,1977,7.9,94.0,92.0,certified-fresh,138,PG,1,0,DE,DE,1,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1976,Taxi Driver,1977,8.2,96.0,93.0,certified-fresh,114,R,1,0,DE,DE,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,Network,1977,8.1,91.0,93.0,certified-fresh,121,R,1,0,DE,DE,1,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,Bound for Glory,1977,7.3,86.0,77.0,fresh,147,PG,0,0,DE,DE,1,0,0,6,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1977,Julia,1978,7.1,74.0,70.0,fresh,117,PG,1,1,DE,DE,1,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,The Goodbye Girl,1978,7.4,84.0,84.0,fresh,111,PG,0,0,DE,DE,1,1,0,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,The Turning Point,1978,6.8,63.0,67.0,fresh,119,PG,0,0,DE,DE,1,1,0,11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,Star Wars,1978,8.7,93.0,96.0,certified-fresh,121,PG,1,0,DE,DE,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,Annie Hall,1978,8.0,98.0,92.0,certified-fresh,93,PG,1,1,DE,DE,1,0,1,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1978,Heaven Can Wait,1979,6.9,88.0,68.0,certified-fresh,101,PG,0,0,DE,DE,1,1,0,12,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1978,The Deer Hunter,1979,8.1,93.0,92.0,certified-fresh,183,R,1,0,DE,DE,1,0,1,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1978,Midnight Express,1979,7.5,96.0,89.0,fresh,121,R,1,0,DE,DE,1,1,0,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,Coming Home,1979,7.3,82.0,83.0,fresh,127,R,0,0,DE,DE,1,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1978,An Unmarried Woman,1979,7.1,89.0,73.0,fresh,124,R,0,0,DE,DE,1,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1979,Apocalypse Now,1980,8.5,98.0,94.0,certified-fresh,147,R,1,0,DE,DE,1,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1979,Breaking Away,1980,7.7,95.0,88.0,fresh,101,PG,0,0,DE,DE,1,1,0,5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1979,All That Jazz,1980,7.8,85.0,86.0,certified-fresh,123,R,0,0,DE,DE,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1979,Norma Rae,1980,7.3,88.0,79.0,fresh,114,PG,0,0,DE,DE,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,Kramer vs. Kramer,1980,7.8,88.0,89.0,certified-fresh,105,PG,1,0,DE,DE,1,1,1,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,The Elephant Man,1981,8.2,92.0,93.0,certified-fresh,124,PG,1,1,DE,DE,1,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Ordinary People,1981,7.7,89.0,88.0,certified-fresh,124,R,0,0,DE,DE,1,1,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Coal Miner's Daughter,1981,7.5,86.0,86.0,fresh,124,PG,0,0,DE,DE,1,1,0,7,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1980,Raging Bull,1981,8.2,93.0,93.0,certified-fresh,129,R,0,0,DE,DE,1,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Tess,1981,7.3,85.0,78.0,certified-fresh,186,PG,0,0,DE,DE,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1981,Raiders of the Lost Ark,1982,8.5,95.0,96.0,certified-fresh,115.0,PG,1,0,DE,DE,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1981,Chariots of Fire,1982,7.1,82.0,80.0,certified-fresh,125,PG,1,1,DE,DE,0,0,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1981,On Golden Pond,1982,7.6,93.0,87.0,fresh,109,PG,1,0,DE,DE,1,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,Reds,1982,7.3,89.0,83.0,certified-fresh,195,PG,0,0,DE,DE,1,0,0,12,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1981,Atlantic City,1982,7.4,100.0,77.0,fresh,104,R,1,0,DE,DE,1,0,0,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1982,Missing,1983,7.7,97.0,85.0,fresh,122,PG,1,0,DE,DE,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1982,Tootsie,1983,7.4,90.0,81.0,certified-fresh,116,PG,1,0,DE,DE,1,1,0,9,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1982,The Verdict,1983,7.7,88.0,88.0,fresh,129,R,0,0,DE,DE,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,E.T. The Extra-Terrestrial,1983,7.9,98.0,72.0,certified-fresh,115,PG,1,0,DE,DE,1,1,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1982,Gandhi,1983,8.0,85.0,92.0,certified-fresh,191,PG,1,1,DE,DE,0,0,1,11,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1983,Tender Mercies,1984,7.3,84.0,82.0,fresh,92,PG,0,0,DE,DE,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1983,The Big Chill,1984,7.1,68.0,77.0,fresh,105,R,0,0,DE,DE,1,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,The Right Stuff,1984,7.8,96.0,90.0,certified-fresh,193,PG,0,0,DE,DE,1,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1983,Terms of Endearment,1984,7.4,78.0,83.0,certified-fresh,132,PG,0,0,DE,DE,1,1,1,11,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,The Dresser,1984,7.5,100.0,87.0,fresh,118,PG,1,0,DE,DE,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,A Passage to India,1985,7.3,76.0,78.0,fresh,164,PG,1,0,DE,DE,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1984,Amadeus,1985,8.4,93.0,95.0,certified-fresh,160,R,1,0,DE,DE,1,1,1,11,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1984,A Soldier's Story,1985,7.2,90.0,81.0,fresh,101,PG,0,0,DE,DE,1,0,0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1984,Places in the Heart,1985,7.4,89.0,83.0,fresh,111,PG,0,0,DE,DE,1,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,The Killing Fields,1985,7.8,93.0,92.0,certified-fresh,141,R,1,1,DE,DE,1,0,0,7,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1985,Prizzi's Honor,1986,6.7,86.0,62.0,fresh,130,R,0,0,DE,DE,1,1,0,8,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Out of Africa,1986,7.1,59.0,83.0,rotten,161,PG,0,0,DE,DE,1,1,1,11,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1985,The Color Purple,1986,7.7,81.0,94.0,fresh,154,PG-13,0,0,DE,DE,1,0,0,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Kiss of the Spider Woman,1986,7.3,87.0,81.0,fresh,120,R,0,0,DE,DE,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Witness,1986,7.4,93.0,80.0,certified-fresh,112,R,1,0,DE,DE,1,0,0,8,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1986,A Room with a View,1987,7.4,100.0,86.0,fresh,117,NR,1,1,DE,DE,1,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1986,Hannah and Her Sisters,1987,7.8,91.0,90.0,certified-fresh,107,PG-13,1,0,DE,DE,1,1,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,The Mission,1987,7.4,64.0,87.0,fresh,125,PG,1,0,DE,DE,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1986,Platoon,1987,8.1,88.0,93.0,certified-fresh,120,R,0,0,DE,DE,1,1,1,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
